major minor  #blocks  name

   7        0       6268 loop0
   7        1       5224 loop1
   7        2       4180 loop2
 253        0     409600 zram0
 179        0    3817472 mmcblk0
 179        1       5120 mmcblk0p1
 179        2       1024 mmcblk0p2
 179        3       8192 mmcblk0p3
 179        4       2048 mmcblk0p4
 179        5       1024 mmcblk0p5
 179        6       1024 mmcblk0p6
 179        7       1024 mmcblk0p7
 179        8       1024 mmcblk0p8
 179        9       1024 mmcblk0p9
 179       10       1024 mmcblk0p10
 179       11       1024 mmcblk0p11
 179       12       1024 mmcblk0p12
 179       13       1024 mmcblk0p13
 179       14       1024 mmcblk0p14
 179       15       1024 mmcblk0p15
 179       16      15360 mmcblk0p16
 179       17    1280000 mmcblk0p17
 179       18      51200 mmcblk0p18
 179       19       2048 mmcblk0p19
 179       20       6144 mmcblk0p20
 179       21     317440 mmcblk0p21
 179       22      16384 mmcblk0p22
 179       23       1024 mmcblk0p23
 179       24    2099183 mmcblk0p24
 179       96       4096 mmcblk0rpmb
 179       64       4096 mmcblk0boot1
 179       32       4096 mmcblk0boot0
 179      128    1934336 mmcblk1
 179      129    1933312 mmcblk1p1
 254        0       6268 dm-0
 254        1       5224 dm-1
 254        2       4180 dm-2
